01636,北海道,清水町,9599,4131,40225,22316
01637,北海道,芽室町,18484,7169,51376,28896
01638,北海道,中札内村,3966,1609,29258,12664
01639,北海道,更別村,3185,1239,17690,14561
01641,北海道,大樹町,5738,2534,81568,24334
01642,北海道,広尾町,7030,3157,59654,12359
01643,北海道,幕別町,26760,10944,47764,31628
01644,北海道,池田町,6882,3044,37179,13700
01645,北海道,豊頃町,3182,1362,53671,18488
01646,北海道,本別町,7358,3260,39191,17180
01647,北海道,足寄町,6990,3179,140804,19136
01648,北海道,陸別町,2482,1128,60890,9330
01649,北海道,浦幌町,4919,2086,72985,17614
01661,北海道,釧路町,19833,8119,25266,4756
01662,北海道,厚岸町,9778,4115,73926,19161
01663,北海道,浜中町,6061,2325,42363,19207
01664,北海道,標茶町,7742,3281,109937,36287
01665,北海道,弟子屈町,7758,3509,77433,16184
01667,北海道,鶴居村,2534,1026,57180,11714
01668,北海道,白糠町,8068,3609,77353,10041
01691,北海道,別海町,15273,5997,131963,80331
01692,北海道,中標津町,23774,10437,68487,35523
01693,北海道,標津町,5242,2169,62468,20881
01694,北海道,羅臼町,5415,2101,39772,11790
02201,青森県,青森市,287648,118234,82461,25701
02202,青森県,弘前市,177411,71152,52420,29466
02203,青森県,八戸市,231257,93750,30554,20331
02204,青森県,黒石市,34284,11770,21705,7418
02205,青森県,五所川原市,55181,21143,40418,17376
02206,青森県,十和田市,63429,25487,72565,20506
02207,青森県,三沢市,40196,16367,11987,9783
02208,青森県,むつ市,58493,24475,86416,13529
02209,青森県,つがる市,33316,10984,25355,21338
02210,青森県,平川市,32106,10129,34601,9524
02301,青森県,平内町,11142,3971,21709,4671
02303,青森県,今別町,2756,1277,12527,1959
02304,青森県,蓬田村,2896,959,8084,2056
02307,青森県,外ヶ浜町,6198,2577,23029,3105
02321,青森県,鰺ヶ沢町,10126,3851,34308,7834
02323,青森県,深浦町,8429,3304,48889,6522
02343,青森県,西目屋村,1415,488,24602,1807
02361,青森県,藤崎町,15179,4942,3729,3729
02362,青森県,大鰐町,9676,3421,16343,3833
02367,青森県,田舎館村,7783,2382,2235,2235
02381,青森県,板柳町,13935,4680,4188,4188
02384,青森県,鶴田町,13392,4384,4643,4523
02387,青森県,中泊町,11187,4118,21632,6963
02401,青森県,野辺地町,13524,5565,8168,2715
02402,青森県,七戸町,15709,5572,33723,11737
02405,青森県,六戸町,10423,3570,8389,5655
02406,青森県,横浜町,4535,1785,12638,2983
02408,青森県,東北町,17955,5974,32650,11465
02411,青森県,六ヶ所村,10536,4683,25268,11310
02412,青森県,おいらせ町,24222,8658,7196,5897
02423,青森県,大間町,5227,2152,5210,1401
02424,青森県,東通村,6607,2578,29527,6110
02425,青森県,風間浦村,1976,823,6955,530
02426,青森県,佐井村,2148,906,13504,1687
02441,青森県,三戸町,10135,3756,15179,5500
02442,青森県,五戸町,17433,6123,17767,8489
02443,青森県,田子町,5554,2006,24198,4770
02445,青森県,南部町,18312,6419,15312,7563
02446,青森県,階上町,14025,5699,9401,3931
02450,青森県,新郷村,2509,831,15077,3346
03201,岩手県,盛岡市,297631,129718,88647,23825
03202,岩手県,宮古市,56676,23387,125915,11823
03203,岩手県,大船渡市,38058,14807,32250,5418
03205,岩手県,花巻市,97702,33799,90839,32093
03206,岩手県,北上市,93511,35861,43755,20318
03207,岩手県,久慈市,35642,14256,62350,7921
03208,岩手県,遠野市,28062,9973,82597,13122
03209,岩手県,一関市,121583,43046,125642,47679
03210,岩手県,陸前高田市,19758,7487,23194,4466
03211,岩手県,釜石市,36802,16860,44034,4338
03213,岩手県,二戸市,27611,10670,42042,10894
03214,岩手県,八幡平市,26355,9429,86230,21124
03215,岩手県,奥州市,119422,41726,99330,44472
03216,岩手県,滝沢市,55463,20787,18246,8876
03301,岩手県,雫石町,16981,5508,60882,12787
03302,岩手県,葛巻町,6344,2460,43496,6378
03303,岩手県,岩手町,13692,4927,36046,8940
03321,岩手県,紫波町,32614,10808,23898,10148
03322,岩手県,矢巾町,27678,9902,6732,5142
03366,岩手県,西和賀町,5880,2146,59074,10716
03381,岩手県,金ケ崎町,15895,5556,17976,10775
03402,岩手県,平泉町,7868,2478,6339,3270
03441,岩手県,住田町,5720,2117,33484,3441
03461,岩手県,大槌町,11759,4927,20042,2244
03482,岩手県,山田町,15826,6218,26281,2559
03483,岩手県,岩泉町,9841,4174,99236,7429
03484,岩手県,田野畑村,3466,1292,15619,2207
03485,岩手県,普代村,2795,1103,6966,943
03501,岩手県,軽米町,9333,3318,24582,5806
03503,岩手県,野田村,4149,1516,8080,1179
03506,岩手県,九戸村,5865,1990,13402,3493
03507,岩手県,洋野町,16693,5959,30292,6815
03524,岩手県,一戸町,12919,4844,30003,8363
04101,宮城県,仙台市 青葉区,310183,158562,30224,9566
04102,宮城県,仙台市 宮城野区,194825,90166,5819,5435
04103,宮城県,仙台市 若林区,133498,61963,5086,4842
04104,宮城県,仙台市 太白区,226855,98456,22839,6945
04105,宮城県,仙台市 泉区,216798,89806,14661,7353
04202,宮城県,石巻市,147214,56819,55458,24087
04203,宮城県,塩竈市,54187,20519,1737,1477
04205,宮城県,気仙沼市,64988,24152,33244,9196
04206,宮城県,白石市,35272,12585,28648,9231
04207,宮城県,名取市,76668,27529,9817,7056
04208,宮城県,角田市,30180,10398,14753,9108
04209,宮城県,多賀城市,62096,24097,1969,1912
04211,宮城県,岩沼市,44678,16631,6045,4647
04212,宮城県,登米市,81959,26196,53612,30602
04213,宮城県,栗原市,69906,23133,80497,36203
04214,宮城県,東松島市,39503,13868,10136,7153
04215,宮城県,大崎市,133391,48307,79676,37376
04216,宮城県,富谷市,51591,17494,4918,2723
04301,宮城県,蔵王町,12316,3923,15283,6695
04302,宮城県,七ヶ宿町,1461,567,26309,3053
04321,宮城県,大河原町,23798,9099,2499,1789
04322,宮城県,村田町,11501,3764,7838,3687
04323,宮城県,柴田町,39525,15121,5403,3515
04324,宮城県,川崎町,9167,2880,27077,6248
04341,宮城県,丸森町,13972,4547,27330,8136
04361,宮城県,亘理町,33589,11334,7360,6155
04362,宮城県,山元町,12315,4429,6458,4250
04401,宮城県,松島町,14421,5112,5356,2594
04404,宮城県,七ヶ浜町,18652,6167,1319,1113
04406,宮城県,利府町,35835,12191,4489,2222
04421,宮城県,大和町,28244,10177,22549,6217
04422,宮城県,大郷町,8370,2421,8201,4522
04424,宮城県,大衡村,5703,1755,6032,3082
04444,宮城県,色麻町,7238,1974,10928,4656
04445,宮城県,加美町,23743,7564,46067,13103
04501,宮城県,涌谷町,16701,5476,8216,5934
04505,宮城県,美里町,24852,8343,7495,7482
04581,宮城県,女川町,6334,3154,6535,886
04606,宮城県,南三陸町,12370,4041,16340,3686
05201,秋田県,秋田市,315814,135318,90609,28716
05202,秋田県,能代市,54730,22371,42695,17362
05203,秋田県,横手市,92197,31463,69280,31612
05204,秋田県,大館市,74175,28242,91322,19091
05206,秋田県,男鹿市,28375,11147,24109,11567
05207,秋田県,湯沢市,46613,16384,79091,15802
05209,秋田県,鹿角市,32038,11508,70752,14733
05210,秋田県,由利本荘市,79927,28349,120960,29623
05211,秋田県,潟上市,33083,12023,9773,6572
05212,秋田県,大仙市,82783,28198,86677,36680
05213,秋田県,北秋田市,33224,12222,115276,19034
05214,秋田県,にかほ市,25324,8804,24113,7821
05215,秋田県,仙北市,27523,9594,109356,15121
05303,秋田県,小坂町,5339,2168,20170,1905
05327,秋田県,上小阿仁村,2381,918,25672,1851
05346,秋田県,藤里町,3359,1215,28213,3703
